title,rating_count,average_rating
"Shawshank Redemption, The (1994)",317,4.4290220820189274
"Godfather, The (1972)",192,4.2890625
Fight Club (1999),218,4.272935779816514
Cool Hand Luke (1967),57,4.271929824561403
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97,4.268041237113402
Rear Window (1954),84,4.261904761904762
"Godfather: Part II, The (1974)",129,4.25968992248062
"Departed, The (2006)",107,4.252336448598131
Goodfellas (1990),126,4.25
Casablanca (1942),100,4.24
"Dark Knight, The (2008)",149,4.238255033557047
"Usual Suspects, The (1995)",204,4.237745098039215
"Princess Bride, The (1987)",142,4.232394366197183
Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155
Schindler's List (1993),220,4.225
Apocalypse Now (1979),107,4.219626168224299
American History X (1998),129,4.217054263565892
Star Wars: Episode V - The Empire Strikes Back (1980),211,4.2156398104265405
Chinatown (1974),59,4.211864406779661
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200,4.2075
One Flew Over the Cuckoo's Nest (1975),133,4.203007518796992
Reservoir Dogs (1992),131,4.202290076335878
Pulp Fiction (1994),307,4.197068403908795
"Matrix, The (1999)",278,4.192446043165468
Amadeus (1984),76,4.184210526315789
North by Northwest (1959),57,4.184210526315789
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",120,4.183333333333334
Brazil (1985),59,4.177966101694915
Forrest Gump (1994),329,4.164133738601824
Monty Python and the Holy Grail (1975),136,4.161764705882353
"Silence of the Lambs, The (1991)",279,4.161290322580645
Eternal Sunshine of the Spotless Mind (2004),131,4.1603053435114505
Snatch (2000),93,4.155913978494624
Spirited Away (Sen to Chihiro no kamikakushi) (2001),87,4.155172413793103
12 Angry Men (1957),57,4.149122807017544
"Green Mile, The (1999)",111,4.148648648648648
Life Is Beautiful (La Vita è bella) (1997),88,4.1477272727272725
City of God (Cidade de Deus) (2002),75,4.1466666666666665
Saving Private Ryan (1998),188,4.1462765957446805
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",72,4.145833333333333
Star Wars: Episode VI - Return of the Jedi (1983),196,4.137755102040816
Inglourious Basterds (2009),88,4.136363636363637
Memento (2000),159,4.122641509433962
To Kill a Mockingbird (1962),58,4.120689655172414
"Lord of the Rings: The Return of the King, The (2003)",185,4.118918918918919
Fargo (1996),181,4.116022099447513
Toy Story 3 (2010),55,4.109090909090909
"Lord of the Rings: The Fellowship of the Ring, The (2001)",198,4.106060606060606
Taxi Driver (1976),104,4.105769230769231
Blade Runner (1982),124,4.100806451612903
Full Metal Jacket (1987),102,4.098039215686274
Office Space (1999),94,4.090425531914893
"Shining, The (1980)",109,4.08256880733945
Good Will Hunting (1997),141,4.078014184397163
Inception (2010),143,4.066433566433567
"Graduate, The (1967)",79,4.063291139240507
L.A. Confidential (1997),97,4.061855670103093
WALL·E (2008),104,4.0576923076923075
American Beauty (1999),204,4.056372549019608
"Lock, Stock & Two Smoking Barrels (1998)",67,4.052238805970149
Guardians of the Galaxy (2014),59,4.0508474576271185
Indiana Jones and the Last Crusade (1989),140,4.046428571428572
Citizen Kane (1941),69,4.043478260869565
"King's Speech, The (2010)",58,4.043103448275862
Army of Darkness (1993),51,4.03921568627451
Trainspotting (1996),102,4.03921568627451
Back to the Future (1985),171,4.038011695906433
Psycho (1960),83,4.036144578313253
Wallace & Gromit: The Wrong Trousers (1993),56,4.035714285714286
It's a Wonderful Life (1946),58,4.0344827586206895
Lost in Translation (2003),74,4.033783783783784
Braveheart (1995),237,4.031645569620253
Vertigo (1958),60,4.025
Shutter Island (2010),67,4.022388059701493
"Lord of the Rings: The Two Towers, The (2002)",188,4.0212765957446805
The Imitation Game (2014),50,4.02
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133,4.018796992481203
This Is Spinal Tap (1984),66,4.015151515151516
Some Like It Hot (1959),50,4.01
Shaun of the Dead (2004),77,4.0064935064935066
"Prestige, The (2006)",90,4.0055555555555555
Jaws (1975),91,4.0054945054945055
Stand by Me (1986),91,4.0054945054945055
Up (2009),105,4.004761904761905
